,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
North American Industry Classification System (NAICS),Retail trade  [44-45],Motor vehicle and parts dealers  [441],Automobile dealers  [4411],New car dealers  [44111],Used car dealers  [44112],Other motor vehicle dealers  [4412],"Automotive parts, accessories and tire stores  [4413]",Furniture and home furnishings stores  [442],Furniture stores  [4421],Home furnishings stores  [4422],Electronics and appliance stores  [443],Building material and garden equipment and supplies dealers  [444],Food and beverage stores  [445],Grocery stores  [4451],Supermarkets and other grocery (except convenience) stores   [44511],Convenience stores  [44512],Specialty food stores  [4452],"Beer, wine and liquor stores  [4453]",Health and personal care stores  [446],Gasoline stations  [447],Clothing and clothing accessories stores  [448],Clothing stores  [4481],Shoe stores  [4482],"Jewellery, luggage and leather goods stores  [4483]","Sporting goods, hobby, book and music stores  [451]",General merchandise stores  [452],Department stores  [4521],Other general merchandise stores  [4529],Miscellaneous store retailers  [453],Cannabis stores  [453993] 6
Aug-93,"16,703,413","3,665,381",..,"3,032,917",..,..,..,"594,869","405,109","189,760","480,998","688,724","4,638,440",..,"3,444,398",..,..,"687,010","1,284,972","1,448,640","1,139,218",..,..,..,"457,667","1,917,786","991,287","926,499","386,719",..
Sep-93,"16,755,338","3,584,895",..,"2,962,075",..,..,..,"600,065","411,435","188,630","486,499","710,719","4,666,646",..,"3,469,432",..,..,"688,020","1,294,134","1,455,889","1,145,256",..,..,..,"464,285","1,961,373","1,032,622","928,751","385,578",..
Oct-93,"16,819,382","3,698,352",..,"3,059,504",..,..,..,"587,376","400,678","186,698","478,626","709,069","4,649,410",..,"3,470,017",..,..,"672,700","1,283,704","1,450,540","1,154,078",..,..,..,"466,008","1,956,814","1,015,847","940,967","385,406",..
Nov-93,"16,958,202","3,749,047",..,"3,102,066",..,..,..,"599,474","411,263","188,211","487,814","727,721","4,691,361",..,"3,495,216",..,..,"683,425","1,284,734","1,451,120","1,152,747",..,..,..,"472,062","1,952,112","1,013,534","938,578","390,011",..
Dec-93,"17,021,436","3,855,491",..,"3,193,345",..,..,..,"596,696","404,861","191,835","485,389","754,633","4,656,957",..,"3,469,194",..,..,"684,278","1,276,434","1,388,665","1,138,957",..,..,..,"480,600","1,983,702","1,026,947","956,755","403,913",..
Jan-94,"17,076,164","3,844,027",..,"3,173,955",..,..,..,"586,154","401,312","184,842","482,079","745,143","4,694,222",..,"3,496,130",..,..,"689,895","1,296,436","1,439,337","1,150,223",..,..,..,"484,695","1,940,817","970,384","970,433","413,031",..
Feb-94,"17,393,150","4,010,045",..,"3,320,131",..,..,..,"587,865","400,503","187,362","478,862","716,102","4,737,110",..,"3,516,462",..,..,"704,811","1,285,455","1,440,784","1,167,528",..,..,..,"495,386","2,049,582","1,094,692","954,890","424,431",..
Mar-94,"17,890,903","4,070,885",..,"3,371,713",..,..,..,"600,667","413,263","187,404","510,791","768,662","4,898,489",..,"3,598,305",..,..,"765,493","1,307,592","1,434,916","1,222,955",..,..,..,"503,761","2,138,875","1,135,897","1,002,978","433,310",..
Apr-94,"17,507,688","4,123,863",..,"3,417,085",..,..,..,"592,890","408,617","184,273","506,254","761,389","4,662,244",..,"3,495,189",..,..,"662,274","1,291,193","1,402,561","1,204,827",..,..,..,"499,798","2,019,636","1,032,182","987,454","443,033",..
May-94,"17,775,079","4,137,403",..,"3,428,564",..,..,..,"608,797","421,430","187,367","522,721","805,049","4,810,407",..,"3,581,618",..,..,"703,232","1,287,321","1,420,591","1,200,519",..,..,..,"503,399","2,034,826","1,045,654","989,172","444,046",..
Jun-94,"17,882,069","4,138,952",..,"3,433,913",..,..,..,"613,734","426,112","187,622","528,255","813,165","4,817,081",..,"3,572,515",..,..,"701,453","1,308,182","1,433,317","1,220,396",..,..,..,"506,699","2,043,777","1,064,060","979,717","458,511",..
Jul-94,"17,785,800","4,022,753",..,"3,333,793",..,..,..,"607,888","416,040","191,848","513,478","818,556","4,851,173",..,"3,575,923",..,..,"720,326","1,300,192","1,452,023","1,232,544",..,..,..,"503,468","2,029,343","1,051,288","978,055","454,382",..
Aug-94,"17,881,976","4,074,277",..,"3,372,648",..,..,..,"613,088","421,289","191,799","517,544","807,741","4,786,072",..,"3,549,636",..,..,"690,268","1,313,423","1,442,103","1,249,614",..,..,..,"508,662","2,105,896","1,122,131","983,765","463,556",..
Sep-94,"17,952,647","4,209,442",..,"3,492,584",..,..,..,"613,641","423,426","190,215","521,580","807,196","4,807,362",..,"3,542,574",..,..,"716,075","1,315,120","1,434,040","1,240,176",..,..,..,"500,353","2,035,431","1,033,596","1,001,835","468,306",..
Oct-94,"18,193,703","4,356,114",..,"3,623,081",..,..,..,"624,487","435,360","189,127","534,122","817,551","4,802,344",..,"3,545,154",..,..,"710,368","1,313,419","1,443,625","1,239,357",..,..,..,"510,825","2,072,950","1,072,302","1,000,648","478,909",..
Nov-94,"18,264,676","4,329,944",..,"3,596,846",..,..,..,"617,379","427,586","189,793","532,871","821,646","4,827,690",..,"3,572,136",..,..,"711,484","1,299,423","1,464,275","1,270,939",..,..,..,"517,312","2,100,272","1,075,619","1,024,653","482,925",..
Dec-94,"18,387,840","4,340,229",..,"3,601,313",..,..,..,"627,919","442,476","185,443","540,934","839,861","4,899,063",..,"3,612,446",..,..,"731,358","1,297,216","1,443,613","1,282,801",..,..,..,"513,435","2,119,082","1,091,459","1,027,623","483,687",..
Jan-95,"18,337,565","4,360,749",..,"3,636,062",..,..,..,"629,439","445,480","183,959","536,902","878,435","4,836,607",..,"3,568,142",..,..,"710,166","1,295,480","1,422,374","1,278,995",..,..,..,"510,020","2,120,878","1,079,472","1,041,406","467,686",..
Feb-95,"18,259,470","4,301,877",..,"3,584,649",..,..,..,"620,580","437,305","183,275","529,166","850,269","4,882,527",..,"3,604,694",..,..,"721,057","1,271,551","1,450,551","1,281,281",..,..,..,"506,370","2,109,377","1,064,093","1,045,284","455,921",..
Mar-95,"18,225,708","4,279,794",..,"3,559,163",..,..,..,"617,212","431,314","185,898","523,516","845,903","4,869,195",..,"3,589,381",..,..,"712,656","1,274,795","1,431,355","1,281,922",..,..,..,"510,365","2,129,396","1,096,354","1,033,042","462,255",..
Apr-95,"18,217,661","4,225,208",..,"3,516,826",..,..,..,"618,155","433,263","184,892","539,756","830,317","4,931,047",..,"3,591,712",..,..,"771,606","1,281,590","1,460,560","1,266,031",..,..,..,"511,018","2,088,181","1,094,160","994,021","465,798",..
May-95,"18,333,051","4,326,693",..,"3,600,661",..,..,..,"610,705","428,459","182,246","509,053","804,031","4,921,616",..,"3,608,492",..,..,"750,338","1,286,908","1,487,859","1,267,629",..,..,..,"503,599","2,129,804","1,111,268","1,018,536","485,154",..
Jun-95,"18,503,481","4,444,737",..,"3,699,920",..,..,..,"601,938","420,622","181,316","509,138","814,622","4,925,633",..,"3,610,726",..,..,"751,419","1,281,308","1,494,071","1,294,843",..,..,..,"505,379","2,162,161","1,133,670","1,028,491","469,651",..
Jul-95,"18,407,254","4,392,652",..,"3,657,701",..,..,..,"599,195","419,927","179,268","511,982","817,120","4,906,979",..,"3,592,428",..,..,"756,726","1,272,297","1,525,335","1,268,960",..,..,..,"506,297","2,132,146","1,118,454","1,013,692","474,291",..
Aug-95,"18,720,783","4,621,794",..,"3,856,272",..,..,..,"605,770","425,746","180,024","515,574","838,101","4,921,821",..,"3,598,550",..,..,"762,686","1,289,985","1,507,965","1,261,859",..,..,..,"498,191","2,179,720","1,128,383","1,051,337","480,003",..
Sep-95,"18,628,735","4,551,821",..,"3,798,565",..,..,..,"600,980","415,744","185,236","508,313","843,560","4,910,383",..,"3,591,496",..,..,"757,665","1,312,864","1,507,679","1,260,844",..,..,..,"493,775","2,152,225","1,118,834","1,033,391","486,291",..
Oct-95,"18,412,692","4,481,208",..,"3,745,379",..,..,..,"600,836","417,324","183,512","506,516","818,987","4,855,895",..,"3,551,316",..,..,"755,901","1,311,237","1,500,483","1,205,155",..,..,..,"486,244","2,166,916","1,120,935","1,045,981","479,215",..
Nov-95,"18,506,305","4,413,268",..,"3,674,838",..,..,..,"596,435","410,474","185,961","508,036","822,155","4,871,517",..,"3,558,980",..,..,"758,533","1,343,500","1,518,464","1,251,231",..,..,..,"489,351","2,175,759","1,125,959","1,049,800","516,589",..
Dec-95,"18,525,162","4,446,704",..,"3,706,657",..,..,..,"586,276","396,147","190,129","505,645","815,257","4,891,775",..,"3,574,349",..,..,"754,057","1,336,414","1,565,639","1,237,807",..,..,..,"489,539","2,165,739","1,109,944","1,055,795","484,367",..
